phase,RRa1,RRa2,RRa3,RRb1,RRb2,RRb3,RRc,sin,W_Uma,Algol
0.34,-0.2995,-0.38896,-0.29846,-0.38919,-0.25395,-0.38526,-0.409,-0.23209,-0.8743,-1
0.36,-0.27357,-0.36864,-0.27019,-0.3651,-0.22942,-0.36546,-0.376,-0.18129,-0.8249,-1
0.38,-0.23785,-0.34532,-0.2418,-0.33576,-0.20832,-0.34124,-0.311,-0.13552,-0.7521,-1
0.4,-0.21604,-0.32073,-0.21551,-0.31927,-0.19068,-0.32201,-0.267,-0.09549,-0.6431,-1
0.42,-0.19216,-0.29759,-0.18974,-0.30342,-0.17517,-0.29847,-0.224,-0.06185,-0.496,-1
0.44,-0.17404,-0.28148,-0.16553,-0.28694,-0.15206,-0.27343,-0.163,-0.03511,-0.3254,-1
0.46,-0.16173,-0.25733,-0.14901,-0.26783,-0.13197,-0.25472,-0.136,-0.01571,-0.162,-0.75
0.48,-0.14545,-0.23587,-0.12762,-0.24376,-0.10984,-0.22687,-0.088,-0.00394,-0.0436,-0.5
0.5,-0.12743,-0.22266,-0.10929,-0.2247,-0.08977,-0.2036,-0.081,0,0,-0.5
0.52,-0.114,-0.21419,-0.09911,-0.20627,-0.07872,-0.19347,-0.057,-0.00394,-0.0433,-0.5
0.54,-0.10594,-0.20157,-0.08485,-0.19488,-0.0724,-0.17828,-0.034,-0.01571,-0.162,-0.75
0.56,-0.10386,-0.17867,-0.07307,-0.18157,-0.06827,-0.17179,-0.024,-0.03511,-0.3252,-1
0.58,-0.09744,-0.16209,-0.07121,-0.16352,-0.06566,-0.15443,-0.009,-0.06185,-0.496,-1
0.6,-0.09971,-0.14794,-0.06436,-0.14245,-0.05762,-0.14792,-0.007,-0.09549,-0.6431,-1
0.62,-0.09574,-0.13725,-0.06347,-0.13744,-0.04858,-0.13476,-0.007,-0.13552,-0.7521,-1
0.64,-0.094,-0.12268,-0.06252,-0.14045,-0.04255,-0.12785,0,-0.18129,-0.8249,-1
0.66,-0.09569,-0.11241,-0.06463,-0.14647,-0.03652,-0.11351,-0.007,-0.23209,-0.8741,-1
0.68,-0.0959,-0.10738,-0.06198,-0.14546,-0.02949,-0.0849,-0.018,-0.28711,-0.9136,-1
